cmt_col,labels,length,processed_text
"Ý chúng nó nói ở đây là nên im lặng và tìm hiểu rõ nguyên nhân , như cư dân mạng ở miền bắc , miền nam , và ở nước ngoài chắc phải bay tận về hà tĩnh tìm hiểu rồi mới được đăng stt chắc :) đúng là cái chế độ này càng ngày càng thối nát, cơ quan báo chí tuyên truyền tung hô toàn cái đéo gì ấy đm chắc ko nói gì là ỉm đi vụ formosa luôn đấy",1.0,339,"ý chúng_nó nói ở đây là nên im_lặng và tìm_hiểu rõ nguyên_nhân , như cư_dân mạng ở miền bắc , miền nam , và ở nước_ngoài chắc phải bay tận về hà_tĩnh tìm_hiểu rồi mới được đăng stt chắc : ) đúng là cái chế_độ này càng ngày_càng thối_nát , cơ_quan báo_chí tuyên_truyền tung_hô toàn cái đéo gì ấy đm chắc không nói gì là ỉm đi vụ formosa luôn đấy"
Bị đấm gãy cmn răng,1.0,19,bị đấm gãy cmn răng
"Người khó khăn, người nghèo bao giờ cũng bị thiệt, nếu bắt tụi nó được, chắc là chỉ vài năm tù, còn người nghèo họ làm, tích góp hơn 10 năm mới có chiếc xe để mưu sinh, vậy mà luật pháp phạt họ quá nhẹ,hy vọng sẽ có bộ luật phạt cho kẻ trộm cắp thật nặng, để dân được bình an.",0.0,276,"người khó_khăn , người nghèo bao_giờ cũng bị thiệt , nếu bắt tụi nó được , chắc là chỉ vài năm tù , còn người nghèo họ làm , tích_góp hơn 10 năm mới có chiếc xe để mưu_sinh , vậy mà luật_pháp phạt họ quá nhẹ , hy_vọng sẽ có bộ_luật phạt cho kẻ_trộm_cắp thật nặng , để dân được bình an ."
Ngu thì thua,1.0,12,ngu thì thua
Cái thằng khỉ đầu chó này nữa,2.0,29,cái thằng khỉ đầu chó này nữa
Thoi di thang khung oi,2.0,22,thoi di_thang khung oi
m lên báo cáo tài chính hợp nhất đó mà xem! nói ra đã thấy mày óc chó ntn rồi! lũ thổ dân mồm vẩu!,2.0,98,m lên báo_cáo tài_chính hợp_nhất đó mà xem ! nói ra đã thấy mày óc chó như thế_nào rồi ! lũ thổ_dân mồm vẩu !
ĐM chúng mày. Thế mà zam làm xã hội thâm.,2.0,41,đm chúng_mày . thế_mà zam làm xã_hội thâm .
thể loại ko làm muốn có ăn hở ra chộm cướp,1.0,42,thể_loại không làm muốn có_ăn hở ra chộm cướp
"mn ơi vào đây chửi cm thằng trọng tài mù này đi, cay thật sự!! https://www.facebook.com/groups/937323947177598/",2.0,111,"mọi người ơi vào đây chửi cm thằng trọng_tài mù này đi , cay thật_sự ! !"
cái này tại dân... cu hòi húng nó bảo thế :v,0.0,44,cái này tại dân ... cu hòi húng nó bảo thế : v
Ok Haha Đúng đóm con nguu như idol đầu bu.ồi giẻ rách của nó vậy :))) xưa nó ở GVR đ có mấy ae giúp đỡ thì nó cũng chỉ là thằng xách nước bổ cam lau dọn ghế cọ nhà vệ sinh trong đấy thôi nhé.,2.0,191,ok haha đúng đóm con nguu như idol đầu bu . ồi giẻ rách của nó vậy : ) ) ) xưa nó ở gvr đ có mấy anh_em giúp_đỡ thì nó cũng chỉ là thằng xách nước bổ cam lau dọn ghế cọ nhà vệ_sinh trong đấy thôi nhé .
nhớ hkia k cs đàn cánh cụt,0.0,26,nhớ hkia không cs đàn cánh cụt
Tin vui cho CSGT để đem về cho người thân không có xe,0.0,53,tin_vui cho csgt để đem về cho người_thân không có xe
Nếu là người có lòng tự trọng thì hãy tự xin thôi đi. Đừng nhận tiền khi mình không có năng lực. Làm việc không có trách nhiệm và đạo đức. Hãy về đất nước của ông. Ở đây chúng tôi không chào đón ông,0.0,198,nếu là người có lòng tự_trọng thì hãy tự xin thôi đi . đừng nhận tiền khi mình không có năng_lực . làm_việc không có trách_nhiệm và đạo_đức . hãy về đất_nước của ông . ở đây chúng_tôi không chào_đón ông
Xin lỗi cái ĐB,1.0,14,xin_lỗi cái đb
Được đó thầy,0.0,12,được đó thầy
Mấy thằng ngu dốt mà tại sao gọi bọn nó là nhà trí thức ?,2.0,57,mấy thằng ngu_dốt mà tại_sao gọi bọn nó là nhà trí_thức ?
Em đang học đánh illoi Mong giao lưu chỉ giáo ạ,0.0,47,em đang học đánh illoi mong giao_lưu chỉ_giáo ạ
Em cũng chúc cả nhà anh chị một kì nghĩ lễ thật vui vẻ ❤️,0.0,57,em cũng chúc cả nhà anh_chị một kì nghĩ lễ thật vui_vẻ ❤ ️
Thứ nhất do luật không nghiêm. Thứ 2 rồi đây tình người sẽ mất hết. Botay,0.0,73,thứ nhất do luật không nghiêm . thứ 2 rồi_đây tình người sẽ mất hết . botay
dot,1.0,3,dot
tây nó tưởng điên trốn trại,1.0,27,tây nó tưởng điên trốn trại
"Cái mỏ giống cá tai tượng quá ,,bởi vậy nó sạo ke cai thứ chửi Việt nam la kg ưa roi",1.0,84,"cái mỏ giống cá tai tượng quá , , bởi_vậy nó sạo ke cai thứ chửi việt nam la kg ưa roi"
"Má xem clip xong nhìn xe mình không thấy, giật mình.nghĩ lại thì ra mình bỏ bên nhà hàng xóm",0.0,92,"má xem clip xong nhìn xe mình không thấy , giật_mình . nghĩ_lại thì ra mình bỏ bên nhà hàng_xóm"
HN Thu Nguyên mấy thằng nhơ bẩn cả nc vn,2.0,40,hn thu nguyên mấy thằng nhơ_bẩn cả nc vn
thằng ngu nếu ko bồi thường thì đừng có lấy của dân,1.0,51,thằng ngu nếu không bồi_thường thì đừng có lấy của dân
Này acc fake đang bắt trọng tài sao đăng bài đc Má ôi tin nhanh thế,0.0,67,này acc fake đang bắt trọng_tài sao đăng bài được má ôi tin nhanh_thế
anh thua top do sai lane chu trinh anh nhu con cac that,2.0,55,anh thua top do sai lane chu trinh anh nhu con cac that
"nói ngu thì tự ái, cãi cùn còn nch thì thích công kích cá nhân. Trình độ học vấn hết cấp2 chưa?",1.0,95,"nói ngu thì tự_ái , cãi cùn còn nch thì thích công_kích cá_nhân . trình_độ học_vấn hết cấp2 chưa ?"
Mắt ông mù à,1.0,12,mắt ông mù à
bọn nó lột xong còn bỏ cát vào bình xăng với dầu ý . Quá khốn nạn .,1.0,67,bọn nó lột xong còn bỏ cát vào bình xăng với dầu ý . quá khốn_nạn .
"Mẫn Đạt Sủa câu biết ngu học =)) đúng là fan bóng đá thời vụ mới nói được những câu này, dell biết nhìn ra mình có gì mà đi chửi HLV",2.0,132,"mẫn đạt sủa câu biết ngu học = ) ) đúng là fan bóng_đá thời_vụ mới nói được những câu này , dell biết nhìn ra mình có gì mà đi chửi hlv"
m có thời à,0.0,11,m có thời à
DM thằng lồn,2.0,12,dm thằng lồn
"Một hlv éo có tâm, cần dẹp gắp, nó không khác gì con sâu mọt đang phá dần bóng đá việt nam",1.0,90,"một hlv éo có tâm , cần dẹp gắp , nó không khác gì con sâu_mọt đang phá dần bóng_đá việt_nam"
K phải khen chứ phim dỡ vkl,1.0,27,không phải khen chứ phim dỡ vkl
bỏ con mà éo liên quan là sao?,1.0,30,bỏ con mà éo liên_quan là sao ?
Acc Fake nha,0.0,12,acc fake nha
Lỗi lầm j hả th chó,2.0,19,lỗi_lầm gì hả th chó
"giống vcl luôn, đm như 2 giọt nước",1.0,34,"giống vcl luôn , đm như 2 giọt nước"
Sory con mẹ mày,2.0,15,sory con_mẹ mày
"Dàn dựng để trộm cắp, thanh niên sức dài vai rộng k chịu đi làm, đi ăn cắp, rồi có ngày người ta đánh chết cho .",1.0,112,"dàn_dựng để trộm_cắp , thanh_niên sức dài vai rộng không chịu đi làm , đi ăn_cắp , rồi có ngày người_ta đánh chết cho ."
đọc thì đọc cho hết còn k hiểu thì câm và cút.,1.0,46,đọc thì đọc cho hết còn không hiểu thì câm và cút .
"Nghiệp dư, con Trâu trắng chứ phù thuỷ trắng mịa gì!",1.0,52,"nghiệp_dư , con trâu trắng chứ phù_thuỷ trắng mịa gì !"
Chúng mày đốt luôn đi cũng kệ con mẹ chúng mày,2.0,46,chúng_mày đốt luôn đi cũng kệ con_mẹ chúng_mày
Cháu cũng làm con cặc j.,1.0,24,cháu cũng làm con cặc j .
Con nhiều chuyện.mất la đúng rồi,0.0,32,con nhiều chuyện . mất la đúng rồi
"Một bọn súc vật ,bắt được chặt tay là o giám lần sau.",2.0,53,"một bọn súc_vật , bắt được chặt tay là o giám lần sau ."
"Bị bắt đạp chế.t thì có đứa vào nói đạo lí, tao khinh",1.0,53,"bị bắt đạp chế . t thì có đứa vào nói đạo_lí , tao khinh"
Mi bắt v r bh xl thì làm đk méo j nx,1.0,36,mi bắt v r bh xl thì làm đk méo gì nx
Thế nó là khách quen của mày hay sao? việc của m à nó chửi bạn tao thì tao binh liên quan gì mày khách hàng thân thiết của m à,0.0,126,thế nó là khách quen của mày hay sao ? việc của m à nó chửi bạn tao thì tao binh liên_quan gì mày khách_hàng thân_thiết của m à
Bố tk óc chó ngáo đá tưởng vậy là ngầu,2.0,38,bố tk óc chó ngáo đá tưởng vậy là ngầu
Phạm Vũ nc Anh là trời âu chứ là gì 😄,0.0,37,phạm vũ nc anh là trời âu chứ là gì 😄
Xin con cặc mẹ mày. Ok,2.0,22,xin con cặc mẹ mày . ok
Lolll cha m bán độ mà xin lổi cc j,2.0,34,lolll cha m bán_độ mà xin lổi cc gì
Năng lực yếu kém. Tư duy bảo thỉ. Xin nghỉ đi,1.0,45,năng_lực yếu_kém . tư_duy bảo thỉ . xin nghỉ đi
mực là con Vel'koz kk ilao là con bạch tuộc,0.0,43,mực là con vel ' koz kk ilao là con bạch_tuộc
Con chó trọng tài,2.0,17,con chó trọng_tài
Rồi ?,0.0,5,rồi ?
Bao gio ban xoi moi mua lai dc xe,0.0,33,bao gio ban xoi moi mua lai được xe
Sorry cc bắt thẻ như cc ngta,1.0,28,sorry cc bắt thẻ như cc ngta
nghỉ mẹ đi đừng làm trọng trọng tài nữa,1.0,39,nghỉ mẹ đi đừng làm trọng trọng_tài nữa
Nguyễn Quốc Vinh SuBaSan,0.0,24,nguyễn quốc vinh subasan
Chuẩn bị bay acc ik,0.0,19,chuẩn_bị bay acc ik
Vẫn là bú tương tác :)) hẳn là nói được làm được :)) rẻ rách chưa :)),1.0,69,vẫn là bú tương_tác : ) ) hẳn là nói được làm được : ) ) rẻ rách chưa : ) )
Nguyễn Gia Hiếu m vào đây lm j,0.0,30,nguyễn gia hiếu m vào đây lm gì
Mày hãm l vừa thôi mày công kích tao xong bảo tao công kích cá nhân mày thế chả lẻ mày chửi tao thì tao chửi ai m bị ngơ à,2.0,122,mày hãm l vừa thôi mày công_kích tao xong bảo tao công_kích cá_nhân mày thế chả lẻ mày chửi tao thì tao chửi ai m bị ngơ à
 quao thật là xạo l @@,1.0,22,quao thật là xạo l @ @
Pha ke,0.0,6,pha ke
Bạn bè dell gì với cái tk mực rách này,2.0,38,bạn_bè dell gì với cái tk mực rách này
Tham vật chất.chết của cải vật chất phải để lại hết.nhg tội thì mang theo .ko từ bỏ dc,1.0,86,tham vật_chất . chết của_cải vật_chất phải để lại hết . nhg tội thì mang theo . ko từ_bỏ được
Thứ bóng dơ,1.0,11,thứ bóng dơ
Ngoo còn đăng lên khoe nữa,1.0,26,ngoo còn đăng lên khoe nữa
sơ hở là trộm,1.0,13,sơ_hở là trộm
Fake cũbg tin :))),0.0,18,fake cũbg tin : ) ) )
ngu vcl,1.0,7,ngu vcl
ủa vậy Thủ Tướng kỳ này là ai vậy,0.0,41,ủa vậy thủ_tướng kỳ này là ai vậy
Thằng lồn mày qua việt nam thử có về được ko,2.0,44,thằng lồn mày qua việt nam thử có về được không
nhặng đýt :)))),1.0,15,nhặng đýt : ) ) ) )
Tinh Trùng Khuyết Tật,2.0,21,tinh_trùng khuyết_tật
Lần tới chừa mê choai nhé cưng,0.0,30,lần tới chừa mê choai nhé cưng
đg r lm như nó là bố thiên hạ ý,1.0,31,đg r lm như nó là bố thiên_hạ_ý
Trải qua cảm giác ..a di đà phật,0.0,32,trải qua cảm_giác . . a_di_đà phật
"nó thuê diễn viên vào bắt nạt tôi bạn ạ, cơ mà 2 game nó 4 8, 2 8 k khá lên dc =)))",0.0,83,"nó thuê diễn_viên vào bắt_nạt tôi bạn ạ , cơ_mà 2 game nó 4 8 , 2 8 không khá lên được = ) ) )"
ủa lộn tối nhớ k cs con chim cánh cụt nên pressing :)),0.0,54,ủa lộn tối nhớ không cs con chim cánh_cụt nên pressing : ) )
Lữ Văn Thánh ông trẩu vc,2.0,24,lữ_văn thánh ông trẩu vc
Xin lỗi con mẹ mày à. Xin lỗi thì làm đc con mẹ gì bây giờ. Lúc bắt k bắt công băng mẹ mày luôn đi để giờ đỡ phải xin lỗi,2.0,121,xin_lỗi con_mẹ mày à . xin_lỗi thì làm được con_mẹ gì bây_giờ . lúc bắt không bắt công băng mẹ mày luôn đi để giờ đỡ phải xin_lỗi
Ở thành phố thôi ở Quê thì mày song đời rồi,1.0,43,ở thành_phố thôi ở quê thì mày song đời rồi
"đỉnh nhất vẫn là \""chiếc khăn gió ấm\""",0.0,38,"đỉnh nhất vẫn là \ "" chiếc khăn gió ấm \ """
"Thấy các bạn trẻ bây giờ mà thở dài ngán ngẫm, sinh ra trong thời bình, có điều kiện học hành, nhu cầu tối thiểu cũng đã xa xỉ so với lớp đàn anh, nhưng rồi chẳng nên trò trống gì!",1.0,180,"thấy các bạn trẻ bây_giờ mà thở_dài ngán ngẫm , sinh ra trong thời_bình , có điều_kiện học_hành , nhu_cầu tối_thiểu cũng đã xa_xỉ so với lớp đàn_anh , nhưng rồi chẳng nên trò_trống gì !"
Họ bị mù mà !!! Tiền che hàng cave đi rồi chúng cơ quan thiểu năng ko thấy đâu,1.0,78,họ bị mù mà ! ! ! tiền che hàng cave đi rồi chúng cơ_quan_thiểu_năng không thấy đâu
Mong ông hãy rời khỏi VN,0.0,24,mong ông hãy rời khỏi vn
Khánh Duy share đi cháu 🤣,0.0,25,khánh duy share đi cháu 🤣
nhạc sĩ đa tài và anh chàng tấu hài đẳng cấp,0.0,44,nhạc_sĩ đa_tài và anh_chàng tấu hài đẳng_cấp
Haha mày nhìn ạc này đánh giá hơi vội tao đéo phải loại ở nhà ăn bám không việc làm mà chơi tốc chiến đâu :)),1.0,109,haha mày nhìn ạc này đánh_giá hơi vội tao đéo phải loại ở nhà_ăn_bám không việc_làm mà chơi tốc chiến đâu : ) )
lại là dư lợn vin,1.0,17,lại là dư lợn vin
xà lơ. Hợp lý cái gì. Cái cty có tư cách gì mà đòi làm việc vs nta. Cty mà làm như cơ quan nhà nước. Lên đây thông cáo báo chí để làm chi. Chắc có cửa để gặp.,0.0,158,xà lơ . hợp_lý cái gì . cái cty có tư_cách gì mà đòi làm_việc với nta . cty mà làm như cơ_quan nhà_nước . lên đây thông_cáo báo_chí để làm_chi . chắc có cửa để gặp .
Nhanh chậm cái con mẹ chúng mày =))),2.0,41,nhanh chậm cái con_mẹ chúng_mày = ) ) )
Đm thằng ad xamlone,2.0,20,đm thằng admin xamlone
con mẹ mày chửi anh độ,2.0,22,con_mẹ mày chửi anh độ
Mấy thằng chó đẻ!,2.0,17,mấy thằng chó_đẻ !
Tức á ca ko đc,0.0,14,tức á ca không được
"jack thà bỏ con cũng sẽ không bỏ qua việc này. Jack sẽ làm rõ đến cùng , hãy ủng hộ jack :)))",0.0,93,"jack thà bỏ con cũng sẽ không bỏ_qua việc này . jack sẽ làm rõ đến cùng , hãy ủng_hộ jack : ) ) )"
From Bảo Yên with love =))),0.0,27,from bảo yên with love = ) ) )
Trọng tài bị thái lan chơi ngãi à,0.0,33,trọng_tài bị thái lan chơi ngãi à
Tui coi đi coi lại chẳng thấy cái gì hết trời,0.0,45,tui coi đi coi lại chẳng thấy cái gì hết trời
sao ô biết hay vậy tôi 2006 đang lớp 12 tích tiền mẹ cho ăn sáng để net net được 70 win cao thủ đơn 220 điểm nếu ô k tin có thể lên lmsslus check ig : phu 206 12c1 #2005,0.0,169,sao ô biết hay vậy tôi 2006 đang lớp 12 tích tiền mẹ cho ăn sáng để net net được 70 win cao_thủ đơn 220 điểm nếu ô không tin có_thể lên lmsslus check ig : phu 206 12c1
"mịa, bao nhiều đời đéo dẹp được, ông Thăng lên được mấy tháng thì dẹp thế đéo nào ngay được, nói ngu vl",1.0,103,"mịa , bao nhiều đời đéo dẹp được , ông thăng lên được mấy tháng thì dẹp thế đéo nào ngay được , nói ngu vl"
"xuất cai L, đm quần áo Vn toàn nhập siêu từ TQ hết 70% chứ xuất xuất clm chúng mày",2.0,82,"xuất cai l , đm quần_áo vn toàn nhập_siêu từ tq hết 70 % chứ xuất xuất clm chúng_mày"
Đi WC,0.0,5,đi wc
Đừng làm vậy a ơi,0.0,17,đừng làm vậy a ơi
may can xuong cua anh tao,1.0,25,may can xuong cua anh tao
Nhìn mặt đẹp gái mà cái tính lại xấu xa thế này.,1.0,48,nhìn mặt đẹp gái mà cái tính lại xấu_xa thế này .
Nhìn ngu haiz vãi,1.0,17,nhìn ngu haiz vãi
nguyên cái chữ Fan cứng thế cơ mà,0.0,33,nguyên cái chữ fan cứng thế cơ_mà
k khác dì mấy với bọn thượng đẳng hàn quốc,1.0,42,không khác dì mấy với bọn thượng đẳng hàn_quốc
Tụi thái mua m bao nhiêu vua áo đen bắt như quần trọng tài chính và phụ như quần quề tổ cha tụi,1.0,95,tụi thái mua m bao_nhiêu vua áo đen bắt như quần trọng_tài_chính và phụ như quần quề tổ cha tụi
Thằng nào fan của thằng này dc thì bố m cũng nể :)),1.0,51,thằng nào fan của thằng này được thì bố m cũng nể : ) )
Đm train như cuccut mà vô quất 1 hơi 3-0 sợ thật :v,1.0,51,đm train như cuccut mà vô quất 1 hơi 3 - 0 sợ thật : v
 bắt đc thằmg ngu bị cắn bait này,1.0,33,bắt được thằmg ngu bị cắn bait này
Cho 3 cha con nó vào tù luôn đi,1.0,31,cho 3 cha con nó vào tù luôn đi
Là là ăn cơm chó,0.0,16,là là ăn cơm chó
1 người mẹ vĩ đại mãi êu,0.0,24,1 người mẹ vĩ_đại mãi êu
lm như m chưa bao h chửi=),0.0,26,lm như m chưa bao h chửi = )
Ra ngoài nhìn trước nhìn sau vào,0.0,32,ra ngoài nhìn trước nhìn sau vào
"Fuck, Mẹ mầy nghỉ cầm còi đc rồi đó, chắc nhận một đống tiền từ thái.",2.0,69,"fuck , mẹ mầy nghỉ cầm còi được rồi đó , chắc nhận một đống tiền từ thái ."
gác lại chuyện đủ trình k thì bạn bè cái choá gì mà bạn qua mạng thì tin thì vẫn ngáo,1.0,85,gác lại chuyện đủ trình không thì bạn_bè cái choá gì mà bạn qua mạng thì tin thì vẫn ngáo
"Tại ở viêt nam tội trom căp hình phạt còn nhẹ,chứ phạt như bên thái lan đi xem coi còn ai dám k",0.0,95,"tại ở viêt nam tội trom căp hình_phạt còn nhẹ , chứ phạt như bên thái lan đi xem coi còn ai dám không"
ông nói vậy là xúc phạm lồn rồi Mồm thằng này chắc giống cái hố phân ấy chứ,2.0,75,ông nói vậy là xúc_phạm lồn rồi mồm thằng này chắc giống cái hố phân ấy chứ
Cái cc m ak xl cái lol,2.0,22,cái cc m ak xl cái lol
Hat nhu lon 🙂,1.0,13,hat nhu lon 🙂
Thanh Hoa nhiều cánh hoa tạo nên (Thanh)Hoa,0.0,43,thanh hoa nhiều cánh hoa tạo nên ( thanh ) hoa
Xin lỗi đéo làm được gì đâu,1.0,27,xin_lỗi đéo làm được gì đâu
Mẹ nó cái bọn trâu bò này người ta làm kiếm bạc cắt mà nó cũng kô tha,2.0,69,mẹ nó cái bọn trâu_bò này người_ta làm kiếm bạc cắt mà nó cũng kô tha
éo thèm nhé =)),1.0,15,éo thèm nhé = ) )
Xinh cụ m,1.0,9,xinh cụ m
Xạo lồn quá chị ba ơi,1.0,21,xạo lồn quá chị ba ơi
Con bóng đũy ăn cứt,2.0,21,con bóng đũy ăn cứt
"Ch.ó mực sủa hay ghê , đánh thì như cc, lại đây bú cặk a a dạy chơi game cho",2.0,76,"ch . ó mực sủa hay ghê , đánh thì như cc , lại đây bú cặk a a dạy chơi game cho"
Bố thằng đần,2.0,12,bố thằng đần
Á đù idol ở đây luôn,0.0,20,á đù idol ở đây luôn
Chet me may chua con kkk,2.0,24,chet me may chua con kkk
Một pha óc chó của a . ý thức như ruồi của a,2.0,44,một pha óc chó của a . ý_thức như ruồi của a
vl t đang xem mèo simmu bản sẽ à,0.0,32,vl t đang xem mèo simmu bản sẽ à
Sống bằng cacban rồi. :)))) k bị chậm nữa,0.0,41,sống bằng cacban rồi . : ) ) ) ) không bị chậm nữa
Tụi bay nghĩ đó là giọng con gái à? Sai lầm. Nhỏ đó chỉ có tâm hồn con gái thôi. Có cu đó,0.0,89,tụi bay nghĩ đó là giọng con_gái à ? sai_lầm . nhỏ đó chỉ có tâm_hồn con_gái thôi . có cu đó
Ông ngu chứ cay gì,1.0,18,ông ngu chứ cay gì
"vui ở đây, là thái độ với cách cư xử, có thể thua trong lòng buồn cực, nhưng có chơi có chịu, vẫn phải cư xử bên ngoài vui vẻ người ta mới nể chứ",0.0,145,"vui ở đây , là thái_độ với cách cư_xử , có_thể thua trong lòng buồn cực , nhưng có chơi có chịu , vẫn phải cư_xử bên ngoài vui_vẻ người_ta mới nể chứ"
M làm cc j mà đăg cái bài ngu vậy ad? Cho chúg vào chửi ngược à????,2.0,67,m làm cc gì mà đăg cái bài ngu vậy ad ? cho chúg vào chửi ngược à ? ? ? ?
"Ba Lan Chi jack không bao , giờ đạo nhạc",1.0,40,"ba lan chi jack không bao , giờ đạo nhạc"
"Loại phản Động phát biểu linh tinh, Việt Nam thống Nhất rồi",2.0,59,"loại phản_động phát_biểu linh_tinh , việt nam thống_nhất rồi"
Quốc Khánh Sáng Nguyễn Nguyễn Shaco thằng ngu nhất t từng biết,2.0,62,quốc_khánh sáng nguyễn nguyễn shaco thằng ngu nhất t từng biết
Phạm Trần Ngọc Điệp nhưng quan trọng là cty J97 có địa chỉ nhà Vr sao ko qua thẳng làm việc trực tiếp cho nó xong đi còn đăng status làm gì cho nó lòng vòng?,0.0,157,phạm trần ngọc điệp nhưng quan_trọng là cty j97 có địa_chỉ nhà vr sao không qua thẳng làm_việc trực_tiếp cho nó xong đi còn đăng status làm gì cho nó lòng_vòng ?
Đã ngèo khó rồi còn ko tha bọn chó cắn áo rách,2.0,46,đã ngèo khó rồi còn không tha bọn chó cắn áo rách
Đm bọn chó bán xôi còn đéo tha .,2.0,32,đm bọn chó bán xôi còn đéo tha .
Để hình con chó con heo bình tùm bậy tùm bạ.:))) Chửi anti thốn vl,1.0,66,để hình con chó con heo bình tùm bậy tùm bạ . : ) ) ) chửi anti thốn vl
Mới hả mn 😅,0.0,11,mới hả mọi người 😅
Mẹ Đỹ ruồi phát quang mê cá chà bac của anh jack nên thích có con rơi à,2.0,71,mẹ đỹ ruồi phát_quang mê cá chà_bac của anh jack nên thích có con_rơi à
30p rồi kêu chậm cái dmm,1.0,24,30p rồi kêu chậm cái dmm
Bài đặt,0.0,7,bài đặt
Ayane Harukana.,0.0,15,ayane harukana .
Ngu vcl,1.0,7,ngu vcl
"Ăn hết bao nhiêu tiền của dân để lo cho dân nhưng lũ mọi rợ này lo cho dân vậy đó,qua tàu rước bao công về chém hết lũ mọi rợ đó đi.",2.0,132,"ăn hết bao_nhiêu tiền của dân để lo cho dân nhưng lũ mọi_rợ này lo cho dân vậy đó , qua tàu rước bao công về chém hết lũ mọi_rợ đó đi ."
ngài tỷ phú đây nghe nói cái nóng hết cả cái đầu lên nhỉ=)))),0.0,61,ngài tỷ_phú đây nghe nói cái nóng hết cả cái đầu lên nhỉ = ) ) ) )
Chỉ tại con người tiến hoá thành choá,1.0,37,chỉ tại con_người tiến_hoá thành choá
Chuyên môn yếu,1.0,14,chuyên_môn yếu
